idaluno,idturma,motivoinativacao,nomedisciplina,notafase,nomefase,idfasenota,numerofase,idade,corraca,sexo,datasituacaoativo,datasituacaoinativo,datahoraefetivacaomatricula,diasmatriculado,inativo
91,200,,INGLÊS,6.0,DIAGNOSTICA 1,254,1,18.0,P,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
183,273,Outras prioridades/trabalho,INGLÊS,7.0,1º SEMESTRE,279,2,14.0,B,M,2022-01-01 00:00:00,2022-08-10 12:16:00,2022-02-24 00:00:00,167.0,True
167,274,,INGLÊS,6.5,DIAGNOSTICA 2,281,4,18.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
173,425,Mudou de bairro/cidade/distância,INGLÊS,4.0,DIAGNOSTICA 1,278,1,17.0,B,F,2022-01-01 00:00:00,2022-06-13 00:00:00,2022-02-27 00:00:00,106.0,True
116,286,,INGLÊS,0.0,DIAGNOSTICA 1,278,1,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
186,273,,INGLÊS,4.0,MÉDIA DIAGNÓSTICA,283,5,13.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-24 00:00:00,310.0,False
210,277,,INGLÊS,0.0,1º SEMESTRE,279,2,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-05-27 00:00:00,218.0,False
159,243,,MATEMÁTICA,4.0,MÉDIA ANUAL,252,6,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
321,242,,PORTUGUÊS,3.0,DIAGNOSTICA 1,242,1,17.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
154,283,,INGLÊS,2.0,DIAGNOSTICA 1,278,1,17.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-03-02 00:00:00,304.0,False
267,277,,INGLÊS,0.0,1º SEMESTRE,279,2,13.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 20:04:00,160.0,False
348,183,,MATEMÁTICA,8.5,MÉDIA ANUAL,240,6,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-06-01 00:00:00,213.0,False
155,425,,INGLÊS,7.5,2º SEMESTRE,280,3,17.0,P,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
165,199,,MATEMÁTICA,3.0,DIAGNOSTICA 1,254,1,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
108,208,,MATEMÁTICA,5.0,MÉDIA DIAGNÓSTICA,265,5,18.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
356,283,,INGLÊS,3.5,MÉDIA DIAGNÓSTICA,283,5,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-25 00:00:00,309.0,False
211,247,,MATEMÁTICA,10.0,DIAGNOSTICA 2,239,4,14.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
243,199,,PORTUGUÊS,7.5,2º SEMESTRE,256,3,17.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
230,180,,MATEMÁTICA,1.0,2º SEMESTRE,238,3,13.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
195,183,,PORTUGUÊS,8.0,MÉDIA ANUAL,240,6,15.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-19 00:00:00,346.0,False
239,194,,INGLÊS,1.5,MÉDIA ANUAL,246,6,16.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 13:38:00,160.0,False
335,276,Falta de retorno as nossas tentativas de contato,INGLÊS,0.0,DIAGNOSTICA 1,278,1,14.0,R,M,2022-01-01 00:00:00,2022-06-10 00:00:00,2022-02-25 00:00:00,105.0,True
208,424,,INGLÊS,6.0,PROGRESSÃO,330,7,16.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-25 00:00:00,309.0,False
280,242,,MATEMÁTICA,4.0,1º SEMESTRE,243,2,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
188,169,,PORTUGUÊS,9.0,DIAGNOSTICA 1,236,1,13.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
239,194,,PORTUGUÊS,4.5,MÉDIA ANUAL,246,6,16.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 13:38:00,160.0,False
325,177,,MATEMÁTICA,2.5,2º SEMESTRE,238,3,15.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-03 00:00:00,331.0,False
153,409,,PORTUGUÊS,2.0,DIAGNOSTICA 1,254,1,18.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-25 00:00:00,309.0,False
270,256,,MATEMÁTICA,2.5,MÉDIA DIAGNÓSTICA,247,5,16.0,P,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 14:04:00,160.0,False
297,189,,PORTUGUÊS,8.0,1º SEMESTRE,243,2,15.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-18 00:00:00,347.0,False
179,266,,MATEMÁTICA,0.0,1º SEMESTRE,249,2,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-08 00:00:00,326.0,False
141,234,,INGLÊS,8.5,2º SEMESTRE,280,3,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
164,203,,PORTUGUÊS,6.5,DIAGNOSTICA 2,251,4,17.0,P,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
209,256,,INGLÊS,2.5,MÉDIA ANUAL,246,6,15.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-05-27 00:00:00,218.0,False
357,207,,MATEMÁTICA,5.5,MÉDIA DIAGNÓSTICA,253,5,16.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
273,181,,MATEMÁTICA,2.5,1º SEMESTRE,237,2,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
362,159,Conhecimento acima da fase atual,MATEMÁTICA,4.0,DIAGNOSTICA 1,230,1,13.0,R,M,2022-01-01 00:00:00,2022-05-20 18:37:00,2022-01-20 00:00:00,120.0,True
269,452,,INGLÊS,1.5,MÉDIA ANUAL,282,6,16.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 18:25:00,160.0,False
202,273,,INGLÊS,4.0,1º SEMESTRE,279,2,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-24 00:00:00,310.0,False
99,208,,MATEMÁTICA,9.5,MÉDIA ANUAL,264,6,19.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
240,452,,INGLÊS,0.0,MÉDIA DIAGNÓSTICA,283,5,15.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-07-23 19:33:00,160.0,False
246,185,,MATEMÁTICA,7.5,2º SEMESTRE,244,3,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-02 00:00:00,332.0,False
213,266,,PORTUGUÊS,7.0,1º SEMESTRE,249,2,16.0,R,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
175,409,Desinteresse / Falta de retorno,MATEMÁTICA,0.0,DIAGNOSTICA 1,254,1,16.0,R,F,2022-04-19 00:00:00,2022-07-03 00:00:00,2022-04-19 00:00:00,75.0,True
338,169,,PORTUGUÊS,5.5,2º SEMESTRE,238,3,14.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-20 00:00:00,345.0,False
347,297,,INGLÊS,3.0,DIAGNOSTICA 1,278,1,16.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-27 00:00:00,307.0,False
246,185,,MATEMÁTICA,7.0,DIAGNOSTICA 2,245,4,14.0,B,M,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-02 00:00:00,332.0,False
324,188,,MATEMÁTICA,7.5,2º SEMESTRE,244,3,16.0,B,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-02-02 00:00:00,332.0,False
229,180,,MATEMÁTICA,7.0,2º SEMESTRE,238,3,13.0,R,F,2022-01-01 00:00:00,2022-12-31 00:00:00,2022-01-21 00:00:00,344.0,False
